# India event-day calendar for NIFTY premium-selling hard-block.
#
# Columns:
#   date        — ISO yyyy-mm-dd (the calendar day we're blocking)
#   event_type  — RBI_POLICY | FED_FOMC | BUDGET | CPI_IN | IIP_IN | ELECTION | OTHER
#   severity    — HARD_BLOCK (skip entries) | SOFT_CAUTION (score penalty only)
#
# Confidence notes (2026-04-23):
#   HIGH  — RBI MPC decision days (sourced from rbi.org.in releases), Union
#           Budget (always Feb 1 since 2017), FOMC decision days (Fed press
#           releases). Dates are the **second/final day** of multi-day events
#           because that is when the rate decision is published and the NIFTY
#           reaction prints.
#   MED   — CPI / IIP release days: NSO's pattern is "CPI ~12th & IIP ~12th
#           of each month" but the exact date slides 1-3 days. Entries here
#           are the canonical 12th; operators should fold in the official
#           NSO calendar quarterly.
#   LOW   — Election result days: 2024 Lok Sabha result day was 4-Jun-2024
#           (confirmed). 2025 state-election dates are not listed here.
#
# FOMC effect on NIFTY: decision drops at 23:30 IST → the **next** IST
# session prints the reaction, so we tag the IST-next-day.
date,event_type,severity
# ── 2024 RBI MPC decision days (final day) ─────────────────────────
2024-02-08,RBI_POLICY,HARD_BLOCK
2024-04-05,RBI_POLICY,HARD_BLOCK
2024-06-07,RBI_POLICY,HARD_BLOCK
2024-08-08,RBI_POLICY,HARD_BLOCK
2024-10-09,RBI_POLICY,HARD_BLOCK
2024-12-06,RBI_POLICY,HARD_BLOCK
# ── 2024 Union Budget (interim + full-year) ────────────────────────
2024-02-01,BUDGET,HARD_BLOCK
2024-07-23,BUDGET,HARD_BLOCK
# ── 2024 FOMC decision days (second day; IST next-session effect) ─
2024-01-31,FED_FOMC,SOFT_CAUTION
2024-02-01,FED_FOMC,SOFT_CAUTION
2024-03-20,FED_FOMC,SOFT_CAUTION
2024-03-21,FED_FOMC,SOFT_CAUTION
2024-05-01,FED_FOMC,SOFT_CAUTION
2024-05-02,FED_FOMC,SOFT_CAUTION
2024-06-12,FED_FOMC,SOFT_CAUTION
2024-06-13,FED_FOMC,SOFT_CAUTION
2024-07-31,FED_FOMC,SOFT_CAUTION
2024-08-01,FED_FOMC,SOFT_CAUTION
2024-09-18,FED_FOMC,SOFT_CAUTION
2024-09-19,FED_FOMC,SOFT_CAUTION
2024-11-07,FED_FOMC,SOFT_CAUTION
2024-11-08,FED_FOMC,SOFT_CAUTION
2024-12-18,FED_FOMC,SOFT_CAUTION
2024-12-19,FED_FOMC,SOFT_CAUTION
# ── 2024 Lok Sabha election result ─────────────────────────────────
2024-06-04,ELECTION,HARD_BLOCK
# ── 2024 CPI / IIP canonical release dates (MED confidence) ────────
2024-01-12,CPI_IN,SOFT_CAUTION
2024-02-12,CPI_IN,SOFT_CAUTION
2024-03-12,CPI_IN,SOFT_CAUTION
